번호,날짜(YYYY-MM-DD),계정항목,사용금액,사용내역,,,계정항목,코드
1,2024-07-06,2,28400,"고객커피접대(김은경,이동준,김동환)",,,회의비,2
2,2024-07-07,13,50000,문화생활 지원비,,,출장비-국내,5
3,2024-07-12,9,10000,야근식대,,,통신비,7
4,2024-07-15,9,10000,야근식대,,,야근식대,9
5,2024-07-19,7,40000,기술지원팀 통신비 지원,,,문화생활비,13
6,2024-07-20,5,6000,출장 대중교통 편도 지원,,,차량유류비,17
7,2024-07-30,17,5700,출장 유류비,,,,
8,2024-07-31,5,1200,출장 하이패스비,,,,
